41457,86,86 Eighty-Six
2928,.hack//G.U. Returner,Unknown
3269,.hack//G.U. Trilogy,.hack//G.U. Trilogy
1143,.hack//Intermezzo,Unknown
299,.hack//Liminality,.hack//Liminality
9332,.hack//Quantum,Unknown
873,.hack//Roots,.hack//roots
48,.hack//Sign,.hack//Sign
298,.hack//Tasogare no Udewa Densetsu,.hack//Legend Of The Twilight
11375,.hack//The Movie: Sekai no Mukou ni,Unknown
1487,.hack//Unison,Unknown
7669,"""Bungaku Shoujo"" Kyou no Oyatsu: Hatsukoi",Unknown
8481,"""Bungaku Shoujo"" Memoire",Unknown
6408,"""Bungaku Shoujo"" Movie",Unknown
40658,** Kouhai,Assisted Mating
11755,009 Re:Cyborg,Unknown
5525,07-Ghost,07-Ghost
44881,100-man no Inochi no Ue ni Ore wa Tatteiru 2nd Season,I’m Standing on a Million Lives Season 2
1549,1000-nen Joou: Queen Millennia,Unknown
1901,11-nin Iru!,They Were Eleven
33419,12-sai.: Chicchana Mune no Tokimeki 2nd Season,Unknown
5762,15 Bishoujo Hyouryuuki,Unknown
40148,22/7,22/7
40924,22/7: 8ďĽ‹3=?,Unknown
2467,3 Choume no Tama: Uchi no Tama Shirimasen ka?,Tama and Friends
31646,3-gatsu no Lion,March comes in like a lion
35180,3-gatsu no Lion 2nd Season,March Comes In Like A Lion 2nd Season
28789,3-gatsu no Lion meets Bump of Chicken,March comes in like a lion meets Bump of Chicken
34647,3-gatsu no Lion Recap,Marches Comes in Like a Lion:Special Omnibus Episode
54761,3-nen Z-gumi Ginpachi-sensei Announcement Special,null
30829,30-pun de Wakaru! Kore made no Love Live!,Unknown
9624,30-sai no Hoken Taiiku,A Thirty-Year Old's Health and Physical Education
7113,30th Gundam Perfect Mission,Unknown
36793,3D Kanojo: Real Girl,Real Girl
37956,3D Kanojo: Real Girl 2nd Season,Unknown
29809,3Ping Lovers!â†Ippu Nisai no Sekai e Youkosoâ™Ş The Animation,Unknown
300,3x3 Eyes,3x3 Eyes
1225,3x3 Eyes: Seima Densetsu,3x3 Eyes:Legend of the Divine Demon
51464,4-nin wa Sorezore Uso wo Tsuku,The Little Lies We All Tell
38101,5-toubun no Hanayome,The Quintessential Quintuplets
39783,5-toubun no Hanayome â¬,The Quintessential Quintuplets 2
48548,5-toubun no Hanayome Movie,The Quintessential Quintuplets Movie
38735,7 Seeds,7 Seeds
40602,7 Seeds 2nd Season,Unknown
6670,8-gatsu no Symphony: Shibuya 2002-2003,Symphony in August
48569,86 Part 2,86 Eighty-Six Part 2
50475,86 Part 2 Recaps,null
49235,86 Special Edition: Senya ni Akaku Hinageshi no Saku,86-Eighty Six- Special Edition - Coquelicots Blooming Across the Battlefield
32998,91 Days,91 Days
34777,"91 Days: Toki no Asase/Subete no Kinou/Ashita, Mata Ashita",91 Days:Shoal of Time/All Our Yesterdays/Tomorrow and Tomorrow
42481,A Day Before Us,A Day Before Us (Season Zero)
320,A Kite,Kite
41319,A song for You! You? You!!,Unknown
9776,A-Channel,A-Channel
10737,A-Channel: +A-Channel,A-Channel:+A-Channel
35285,A-Channel: Nabe wo Tabeyou,A-Channel:Let's Eat Hot Pot
11339,A-Channel+smile,Unknown
36039,A.I.C.O.: Incarnation,Unknown
40272,A3! Season Autumn & Winter,A3! Season Autumn & Winter
39184,A3! Season Spring & Summer,A3! Season Spring & Summer
49,Aa! Megami-sama!,Oh! My Goddess
9611,Aa! Megami-sama! (2011),Unknown
50,Aa! Megami-sama! (TV),Ah! My Goddess
1003,Aa! Megami-sama! (TV) Specials,Unknown
304,Aa! Megami-sama! Movie,Ah! My Goddess:The Movie
303,Aa! Megami-sama!: Chichaitte Koto wa Benri da ne,Oh! My Goddess:The Adventures of Mini-Goddess
880,Aa! Megami-sama!: Sorezore no Tsubasa,Ah! My Goddess:Flights of Fancy
2198,Aa! Megami-sama!: Sorezore no Tsubasa Specials,Ah! My Goddess:Flights of Fancy Specials
3090,Aa! Megami-sama!: Tatakau Tsubasa,Unknown
2884,Aachi wa Ssipak,Aachi and Ssipak
306,Abenobashi Mahouâ†Shoutengai,Magicalâ†Shopping Arcade Abenobashi
25397,Absolute Duo,Absolute Duo
33337,ACCA: 13-ku Kansatsu-ka,ACCA:13-Territory Inspection Dept.
39610,ACCA: 13-ku Kansatsu-ka - Regards,Unknown
35720,ACCA: 13-ku Kansatsu-ka Specials,Unknown
11759,Accel World,Accel World
13939,Accel World EX,Unknown
31763,Accel World: InfiniteâžBurst,Unknown
2852,Accelerando: Datenshi-tachi no Sasayaki,Unknown
22419,Acchi Kocchi,Unknown
12291,Acchi Kocchi (TV),Place to Place
16273,Acchi Kocchi (TV): Place=Princess,Unknown
311,Ace wo Nerae!,Unknown
313,Ace wo Nerae! (1979),Aim for the Ace! (1979)
314,Ace wo Nerae! 2,Unknown
312,Ace wo Nerae!: Final Stage,Unknown
34800,Action Heroine Cheer Fruits,Action Heroine Cheer Fruits
39790,Adachi to Shimamura,Adachi and Shimamura
39093,Additional Memory,Unknown
39590,Africa no Salaryman (TV),Africa Salaryman
1292,Afro Samurai,Afro Samurai
13709,Afro Samurai Movie,Afro Samurai the Movie
27939,Afro Samurai Pilot,Unknown
4970,Afro Samurai: Resurrection,Afro Samurai:Resurrection
92,After War Gundam X,After War Gundam X
244,Agatha Christie no Meitantei Poirot to Marple,Agatha Christie's Great Detectives Poirot and Marple
32977,Aggressive Retsuko,Aggretsuko
36904,Aggressive Retsuko (ONA),Aggretsuko
37985,Aggressive Retsuko (ONA) 2nd Season,Unknown
40215,Aggressive Retsuko (ONA) 3rd Season,Unknown
45489,Aggressive Retsuko (ONA) 4th Season,Aggretsuko (ONA) 4th Season
