id,title,englishTitle,score
42249,"Tokyo Revengers","Tokyo Revengers",7.99
41025,"Fumetsu no Anata e","To Your Eternity",8.36
42361,"Ijiranaide, Nagatoro-san","Don't Toy with Me, Miss Nagatoro",7.3
41457,"86","86 Eighty-Six",8.28
40938,"Hige wo Soru. Soshite Joshikousei wo Hirou.","Higehiro: After Being Rejected, I Shaved and Took in a High School Runaway",7.28
46095,"Vivy: Fluorite Eye's Song","Vivy -Fluorite Eye's Song-",8.41
42938,"Fruits Basket: The Final","Fruits Basket: The Final Season",9
46102,"Odd Taxi","Odd Taxi",8.69
43692,"Gokushufudou","The Way of the Househusband",7.23
41623,"Isekai Maou to Shoukan Shoujo no Dorei Majutsu Ω","How Not to Summon a Demon Lord Ω",6.72
41456,"Sentouin, Hakenshimasu!","Combatants Will Be Dispatched!",7.16
40586,"Slime Taoshite 300-nen, Shiranai Uchi ni Level Max ni Nattemashita","I've Been Killing Slimes for 300 Years and Maxed Out My Level",6.94
41488,"Tensura Nikki: Tensei shitara Slime Datta Ken","The Slime Diaries",7.59
44074,"Shiguang Dailiren","Link Click",8.72
41402,"Mairimashita! Iruma-kun 2nd Season","Welcome to Demon School! Iruma-kun Season 2",8.06
44942,"Shuumatsu no Walküre","Record of Ragnarok",6.74
43007,"Osananajimi ga Zettai ni Makenai Love Comedy","Osamake: Romcom Where The Childhood Friend Won't Lose",6.07
42205,"Shaman King (2021)","null",6.89
42192,"Edens Zero","Edens Zero",7.3
44276,"Kyuukyoku Shinka shita Full Dive RPG ga Genjitsu yori mo Kusoge Dattara","Full Dive: The Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!",6.47
43439,"Shadows House","Shadows House",7.79
43325,"Yuukoku no Moriarty Part 2","Moriarty the Patriot Part 2",8.27
41103,"Koi to Yobu ni wa Kimochi Warui","Koikimo",7.14
43609,"Kaguya-sama wa Kokurasetai? Tensai-tachi no Renai Zunousen OVA","Kaguya-sama: Love is War OVA",7.58
40174,"Zombieland Saga Revenge","Zombie Land Saga Revenge",8.01
40729,"Nomad: Megalo Box 2","Megalobox 2: Nomad",8.2
42826,"Seijo no Maryoku wa Bannou desu","The Saint's Magic Power is Omnipotent",7.28
42590,"Mashiro no Oto","Those Snow White Notes",7.54
48614,"Wonder Egg Priority: Watashi no Priority","Wonder Egg Priority: My Priority",5.12
40870,"SSSS.Dynazenon","SSSS.Dynazenon",7.42
41265,"Mars Red","Mars Red",6.59
40685,"Super Cub","Super Cub",7.43
43756,"Bakuten!!","Backflip!!",7.52
42395,"Shakunetsu Kabaddi","Burning Kabaddi",7.03
40752,"Bishounen Tanteidan","Pretty Boy Detective Club",7.11
47250,"Jouran: The Princess of Snow and Blood","Joran The Princess of Snow and Blood",6.09
43697,"Yasuke","Yasuke",5.76
44983,"Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III OVA","Is It Wrong to Try to Pick Up Girls in a Dungeon? III: Is It Wrong to Try to Find a Hot Spring in Orario?",6.89
42307,"Subarashiki Kono Sekai The Animation","The World Ends with You The Animation",6.13
38086,"Fate/Grand Order: Shinsei Entaku Ryouiki Camelot 2 - Paladin; Agateram","Fate/Grand Order: Divine Realm of the Round Table - Camelot Paladin; Agateram",7.59
43229,"Godzilla: S.P","Godzilla Singular Point",6.65
48590,"Mini Dragon","Miss Kobayashi's Dragon Maid S Short Animation Series",7.36
40526,"Dragon, Ie wo Kau.","Dragon Goes House-Hunting",6.41
47391,"Seven Knights Revolution: Eiyuu no Keishousha","Seven Knights Revolution: Hero Successor",6.31
49236,"Youjo Senki: Sabaku no Pasta Daisakusen","Saga of Tanya the Evil: Operation Desert Pasta",7.44
49235,"86 Special Edition: Senya ni Akaku Hinageshi no Saku","86-Eighty Six- Special Edition - Coquelicots Blooming Across the Battlefield",6.87
49318,"Tensei shitara Slime Datta Ken 2nd Season: Kanwa - Veldora Nikki 2","That Time I Got Reincarnated as a Slime Season 2: Tales - Veldora's Journal 2",7.13
42568,"Yaku nara Mug Cup mo","Let's Make a Mug Too",6.52
42774,"Sayonara Watashi no Cramer","Farewell, My Dear Cramer",6.09
47591,"Kuro Gal ni Natta kara Shinyuu to shitemita.","null",6.17
45604,"Jaku-Chara Tomozaki-kun Specials","Bottom-Tier Character Tomozaki Specials",6.67
37765,"Kidou Senshi Gundam: Senkou no Hathaway","Mobile Suit Gundam Hathaway's Flash",7.82
41361,"Eiga Daisuki Pompo-san","Pompo: The Cinéphile",8.15
49200,"Shiguang Dailiren Fan Wai Pian: Biwu Zhaoqin","Link Click Episode 5.5",7.68
47639,"Blue Reflection Ray","Blue Reflection Ray",5.8
35759,"Sidonia no Kishi: Ai Tsumugu Hoshi","Knights of Sidonia: Love Woven in the Stars",7.45
45665,"Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu","null",5.89
43591,"Hetalia World★Stars","null",6.83
43763,"Cestvs: The Roman Fighter","null",5.95
48468,"Uchi no Otouto Maji de Dekain Dakedo Mi ni Konai?","My Younger Brother is Really Big, Wanna Come See?",7.64
39764,"Detective Conan Movie 24: The Scarlet Bullet","null",7.74
49026,"Yuru Camp△ Season 2 Specials","Laid-Back Camp Season 2 Specials",7.45
49241,"Vivy: Fluorite Eye's Song - To Make Everyone Happy With My Singing","null",7.3
39728,"Eden (ONA)","null",6.38
40664,"Shoujo☆Kageki Revue Starlight Movie","Revue Starlight: The Movie",8.55
49066,"Artiswitch","null",7.27
42516,"Cardfight!! Vanguard: overDress","null",5.94
48727,"Yoru no Kuni","null",7.44
48612,"Journey: Taiko Arabia Hantou de no Kiseki to Tatakai no Monogatari","The Journey",7.36
46587,"Tenchi Souzou Design-bu: Idea 13","Heaven's Design Team: Idea 13",7.21
47904,"Hololive Alternative","null",8
42798,"Sayonara Watashi no Cramer Movie: First Touch","null",7.1
48735,"Chibi Revenger","null",7.17
48626,"J* Fuuzoku Gakuensai","null",7.19
41780,"BanG Dream! Movie: Episode of Roselia - I: Yakusoku","null",7.69
45620,"Gyokou no Nikuko-chan","Fortune Favors Lady Nikuko",7.18
37346,"Etotama: Nyankyaku Banrai","null",6.36
47405,"Wanmei Shijie","Perfect World",7.41
48651,"Sakusei Byoutou The Animation","null",7.03
48697,"Eroge de Subete wa Kaiketsu Dekiru! The Animation","Eroge Can Solve Everything! The Animation",7.39
42321,"Battle Athletess Daiundoukai ReSTART!","Battle Athletes Victory ReSTART!",5.08
41221,"Liang Bu Yi","No Doubt In Us",7.52
41781,"BanG Dream! Movie: Episode of Roselia - II: Song I Am.","null",8.01
45587,"Itazuraguma no Gloomy","GLOOMY The Naughty Grizzly",5.21
42071,"Yuuki Yuuna wa Yuusha de Aru Churutto!","Yuki Yuna is a Hero - Churutto!",5.97
48513,"Netokano","null",5.81
48889,"Netoshisu","null",5.49
48422,"Kazoku: Haha to Shimai no Kyousei","null",6.81
48654,"Bitch na Inane-sama","null",6.26
49215,"Celia-sensei no Wakuwaku Magical Kyoushitsu","null",6
49755,"Obey Me!: Makai Dai Ryokou!","null",7.03
49501,"Katarina Nounai Kaigi X","null",5.62
48481,"Daomu Biji Zhi Qinling Shen Shu","The Buried Tree Devil",6.6
48537,"Shi Yi Chang An: Mingyue Jishi You Er","Memory of Chang'an 2nd Season",7.17
48652,"Shidoukan Day After The Animation","null",5.73
42359,"Zhen Hun Jie: Bei Luo Shi Men Pian Part 2","Rakshasa Street",6.81
48843,"Karada de Kaiketsu Hyakkiya Tantei Jimusho","null",6.34
48953,"Natsume Yuujinchou: Hitoyoshi Kuma de no Yasashii Jikan","Natsume Yuujinchou: A Day Out in Hitoyoshi Kuma",7.37
44068,"Tian Bao Fuyao Lu 2nd Season","Legend of Exorcism",7.47
40554,""Uchuu Senkan Yamato" to Iu Jidai: Seireki 2202-nen no Sentaku","null",6.52
48455,"Beyblade Burst Dynamite Battle","Beyblade Burst QuadDrive",6.19
42178,"Mi Bao Zhi Guo","The Country of Rare Treasure",5.49
48684,"Wan Jie Du Zun","Ten Thousand Worlds",6.92
49214,"Peach Boy Riverside Mini Anime","null",5.42
48956,"Wu Shang Shen Di 2nd Season","null",6.93
50030,"Ghost (Music)","null",7.77
49228,"Dragon Quest: Dai no Daibouken (2020): Bouken no Kiseki, Kore kara no Tabiji","Dragon Quest: The Adventure of Dai: The Trail of Adventure, The Path Forward",6.17
48365,"Youkai Watch ♪","null",6.24
48876,"Yoru wa Honoka","Night is Faint",7.58
45618,"Dinosaur Biyori","null",5.82
41918,"Juan Siliang","The Island of Siliang",6.95
44273,"Mewkledreamy Mix!","null",7.14
48859,"Pretty All Friends Selection","null",6.55
49305,"Wan Jie Xian Zong 5th Season","null",6.88
48555,"Bakugan: Geogan Rising","null",5.56
48391,"Mazica Party","null",null
44041,"SD Gundam World Heroes","SD GUNDAM WORLD HEROES",5.67
49170,"Xinghe Zhizun","null",5.96
48845,"Li Linke de Xiao Guaner","The Dining of Link Lee",6.7
48942,"Kuang Shen Mo Zun","Mad Demon Lord",6.41
46381,"Shinkansen Henkei Robo Shinkalion Z the Animation","null",6.31
44090,"Ling Long: Incarnation Final Chapter","null",6.94
48791,"Luo Xiao Hei Zhan Ji: Zhongsheng Zhi Men","The Legend of Luoxiaohei: The Gate of All Living Beings",7.05
48610,"Blue Reflection Ray!","null",5.7
48869,"Trepanation","null",6.35
49060,"Ensemble Stars!! 5th Anniversary Animation PV","null",6.7
49510,"Tantei wa Mou, Shindeiru. Mini Anime","null",5.76
50066,"Hajimari wa Kimi no Sora","null",6.98
48890,"Ling Long: Incarnation Special","null",7.08
51996,"Qian Wu Guren","Without Parallel",null
49049,"The Naked King","null",6.63
49098,"Xi Xing Ji: Suming Pian","The Westward",6.49
52845,"Odo","null",7.38
46652,"Duel Masters King!","null",null
42870,"Uchuu Nanchara Kotetsu-kun","Space Academy",null
49014,"Daisan no Shinzou","The Third Heart",6.17
49189,"Shiny Racers","null",6.25
51605,"Mado wo Akete","null",6.77
49370,"Mini Van Large","mini vanguard Large",5.92
43778,"Motto! Majime ni Fumajime Kaiketsu Zorori 2nd Season","null",null
